Unnamed: 0,id,data,ad_page,ad_order,Title,Price,Date,Time,phone,room,loc,message,url,Шал:,Тагт:,Ашиглалтанд орсон он:,Гараж:,Цонх:,Барилгын давхар:,Хаалга:,Талбай:,Хэдэн давхарт:,Лизингээр авах боломж:,Цонхны тоо:,Барилгын явц:
29,4897569,"5.8 сая ₮
Хүннү 2222 117м2 4 өрөө
5 өдрийн өмнө
УБ — Хан-Уул, Хүннү",65.0,30.0,,,,,,,,,,,,,,,,,,,,,
39,4912614,"143 сая ₮
Сөүл гарден хотхонд 2 өрөө байр
2 долоо хоногийн өмнө
УБ — Хан-Уул, Нисэх",120.0,40.0,,,,,,,,,,,,,,,,,,,,,
11,4936553,"345 сая ₮
Хүннү тауэрт 3 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул",90.0,12.0,,,,,,,,,,,,,,,,,,,,,
53,4952750,"119 сая ₮
Нүхтэд 58.3м2 2 өрөө байр
1 долоо хоногийн өмнө
УБ — Хан-Уул, Яармаг",93.0,54.0,,,,,,,,,,,,,,,,,,,,,
36,5032440,"500 сая ₮
Зайсан, golden vill хотхон 4 өрөө 134.32м2
2 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",120.0,37.0,,,,,,,,,,,,,,,,,,,,,
1,5060517,"249.6 сая ₮
Арцат -2 хотхон 3 өрөө 78м2
1 өдрийн өмнө
УБ — Хан-Уул, Яармаг",26.0,2.0,,,,,,,,,,,,,,,,,,,,,
57,5060517,,25.0,58.0,Арцат -2 хотхон 3 өрөө 78м2,249.6 сая ₮,2024-03-26,14:02,,3 өрөө,"УБ — Хан-Уул, Яармаг","
Хан-Уул дүүрэг, Шинэ хотын захиргааны зүүн талаар урагшаа яваад Арцат -2 хотхон

5 давхрын, 78м2 талбайтай,

3 өрөө (зочны өрөө болон гал тогоо хамт, 2 унтлагын өрөө)

2 (угаалгын өрөө болон 00-н өрөө хамт)
Энэхүү байрыг худалдана.

Гэрчилгээ бэлэн.",https://www.unegui.mn/adv/5060517_zhukov-avtobusny-chankh-urd-2-oroo-bair/,Паркет,1 тагттай,2022.0,Байхгүй,Вакум,16.0,Вакум,78.0 м²,5.0,Лизинггүй,3.0,Ашиглалтад орсон
15,5091346,"4.8 сая ₮
Худ зайсан royal crown villa хотхонд 5 өрөө 309м2
1 долоо хоногийн өмнө
УБ — Хан-Уул, Зайсан",101.0,16.0,,,,,,,,,,,,,,,,,,,,,
30,5138471,"189 сая ₮
Baynzurh 2 oroo 60m2
5 өдрийн өмнө
УБ — Баянзүрх, 13-р хороолол",62.0,31.0,,,,,,,,,,,,,,,,,,,,,
53,5203939,"850 сая ₮
Уб сувилалын зүүн урд 7 өрөө дуплекс
2 долоо хоногийн өмнө
УБ — Хан-Уул, Цэлмэг хотхон",120.0,54.0,,,,,,,,,,,,,,,,,,,,,
48,5329778,"392 сая ₮
King towert 98 m2 3 uruu bair
2 өдрийн өмнө
УБ — Хан-Уул, King Tower",43.0,49.0,,,,,,,,,,,,,,,,,,,,,
3,5357679,"170 сая ₮
Угсармалын гал тогоо тусдаа 3 өрөө байр 80м2
Өчигдөр
УБ — Баянгол, 3, 4 хороолол",5.0,4.0,,,,,,,,,,,,,,,,,,,,,
